Linux 6.10.8default-kernel (jeonghoon-MS-7D22) 	2025년 07월 29일 	_x86_64_	(12 CPU)

14시 44분 49초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
14시 44분 50초  1000    391578         -    0.00   97.00    0.00    0.00   97.00     4  io_uring_udp_se
14시 44분 50초  1000         -    391578    0.00    0.00    0.00    0.00    0.00     4  |__io_uring_udp_se
14시 44분 50초  1000         -    391580    0.00   97.00    0.00    0.00   97.00     1  |__iou-sqp-391578
14시 44분 51초  1000    391578         -    0.00   47.00    0.00    0.00   47.00     4  io_uring_udp_se
14시 44분 51초  1000         -    391578    0.00    0.00    0.00    0.00    0.00     4  |__io_uring_udp_se
14시 44분 51초  1000         -    391580    0.00   46.00    0.00    0.00   46.00     1  |__iou-sqp-391578
14시 44분 52초  1000    391578         -    0.00  100.00    0.00    0.00  100.00     3  io_uring_udp_se
14시 44분 52초  1000         -    391578    0.00    0.00    0.00    0.00    0.00     3  |__io_uring_udp_se
14시 44분 52초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 44분 53초  1000    391578         -    0.00  100.00    0.00    0.00  100.00     3  io_uring_udp_se
14시 44분 53초  1000         -    391578    0.00    0.00    0.00    0.00    0.00     3  |__io_uring_udp_se
14시 44분 53초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 44분 54초  1000    391578         -    2.00  101.00    0.00    0.00  103.00     3  io_uring_udp_se
14시 44분 54초  1000         -    391578    2.00    0.00    0.00    0.00    2.00     3  |__io_uring_udp_se
14시 44분 54초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 44분 55초  1000    391578         -    5.00  100.00    0.00    0.00  105.00     4  io_uring_udp_se
14시 44분 55초  1000         -    391578    5.00    0.00    0.00    0.00    5.00     4  |__io_uring_udp_se
14시 44분 55초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 44분 56초  1000    391578         -    6.00  100.00    0.00    0.00  106.00     2  io_uring_udp_se
14시 44분 56초  1000         -    391578    7.00    0.00    0.00    0.00    7.00     2  |__io_uring_udp_se
14시 44분 56초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 44분 57초  1000    391578         -   18.00  100.00    0.00    0.00  118.00     4  io_uring_udp_se
14시 44분 57초  1000         -    391578   18.00    0.00    0.00    0.00   18.00     4  |__io_uring_udp_se
14시 44분 57초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 44분 58초  1000    391578         -   25.00  100.00    0.00    0.00  125.00     2  io_uring_udp_se
14시 44분 58초  1000         -    391578   25.00    0.00    0.00    0.00   25.00     2  |__io_uring_udp_se
14시 44분 58초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 44분 59초  1000    391578         -   25.00  100.00    0.00    0.00  125.00     2  io_uring_udp_se
14시 44분 59초  1000         -    391578   25.00    1.00    0.00    0.00   26.00     2  |__io_uring_udp_se
14시 44분 59초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 00초  1000    391578         -   45.00  108.00    0.00    0.00  153.00     3  io_uring_udp_se
14시 45분 00초  1000         -    391578   44.00    8.00    0.00    0.00   52.00     3  |__io_uring_udp_se
14시 45분 00초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 01초  1000    391578         -   55.00  111.00    0.00    0.00  166.00     3  io_uring_udp_se
14시 45분 01초  1000         -    391578   54.00   12.00    0.00    0.00   66.00     3  |__io_uring_udp_se
14시 45분 01초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 02초  1000    391578         -   56.00  112.00    0.00    0.00  168.00     3  io_uring_udp_se
14시 45분 02초  1000         -    391578   56.00   11.00    0.00    0.00   67.00     3  |__io_uring_udp_se
14시 45분 02초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 03초  1000    391578         -   45.00  137.00    0.00    0.00  182.00     3  io_uring_udp_se
14시 45분 03초  1000         -    391578   45.00   38.00    0.00    0.00   83.00     3  |__io_uring_udp_se
14시 45분 03초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 04초  1000    391578         -   38.00  155.00    0.00    0.00  193.00     3  io_uring_udp_se
14시 45분 04초  1000         -    391578   39.00   55.00    0.00    0.00   94.00     3  |__io_uring_udp_se
14시 45분 04초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 05초  1000    391578         -   40.00  151.00    0.00    0.00  191.00     3  io_uring_udp_se
14시 45분 05초  1000         -    391578   39.00   51.00    0.00    0.00   90.00     3  |__io_uring_udp_se
14시 45분 05초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 06초  1000    391578         -   37.00  154.00    0.00    0.00  191.00     3  io_uring_udp_se
14시 45분 06초  1000         -    391578   37.00   54.00    0.00    0.00   91.00     3  |__io_uring_udp_se
14시 45분 06초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 07초  1000    391578         -   39.00  150.00    0.00    0.00  189.00     2  io_uring_udp_se
14시 45분 07초  1000         -    391578   40.00   50.00    0.00    0.00   90.00     2  |__io_uring_udp_se
14시 45분 07초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 08초  1000    391578         -   38.00  151.00    0.00    0.00  189.00     2  io_uring_udp_se
