Linux 6.10.8nazgul+ (bb1) 	07/01/2025 	_x86_64_	(32 CPU)

03:13:33 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:13:34 AM     0      2735    0.00   99.00    0.00    0.00   99.00     2  io_uring_echo_s
03:13:35 AM     0      2735    0.00  100.00    0.00    0.00  100.00     2  io_uring_echo_s
03:13:36 AM     0      2735    0.00  100.00    0.00    0.00  100.00     2  io_uring_echo_s
03:13:37 AM     0      2735    0.00   89.00    0.00    0.00   89.00     0  io_uring_echo_s
03:13:38 AM     0      2735    0.00   97.00    0.00    0.00   97.00     0  io_uring_echo_s
03:13:39 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:13:40 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:13:41 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:13:42 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:13:43 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:13:44 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:13:45 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:13:46 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:13:47 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:13:48 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:13:49 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:13:50 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:13:51 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:13:52 AM     0      2735    3.00  110.00    0.00    0.00  113.00     0  io_uring_echo_s
03:13:53 AM     0      2735    7.00  117.00    0.00    0.00  124.00     2  io_uring_echo_s
03:13:54 AM     0      2735    4.00  101.00    0.00    0.00  105.00     2  io_uring_echo_s
03:13:55 AM     0      2735    5.00  106.00    0.00    0.00  111.00     2  io_uring_echo_s
03:13:56 AM     0      2735    5.00  101.00    0.00    0.00  106.00     2  io_uring_echo_s
03:13:57 AM     0      2735    5.00  101.00    0.00    0.00  106.00     2  io_uring_echo_s
03:13:58 AM     0      2735    2.00  100.00    0.00    0.00  102.00     2  io_uring_echo_s
03:13:59 AM     0      2735    3.00  101.00    0.00    0.00  104.00     2  io_uring_echo_s
03:14:00 AM     0      2735    3.00  100.00    0.00    0.00  103.00     2  io_uring_echo_s
03:14:01 AM     0      2735    4.00   99.00    0.00    0.00  103.00     2  io_uring_echo_s
03:14:02 AM     0      2735    3.00  101.00    0.00    0.00  104.00     2  io_uring_echo_s
03:14:03 AM     0      2735    4.00   99.00    0.00    0.00  103.00     2  io_uring_echo_s
03:14:04 AM     0      2735    3.00  101.00    0.00    0.00  104.00     2  io_uring_echo_s
