Linux 6.10.8adaptive-sq+ (jeonghoon-MS-7D22) 	2025년 07월 31일 	_x86_64_	(12 CPU)

11시 56분 10초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
11시 56분 11초     0    122222         -    0.00   59.00    0.00    0.00   59.00     3  napi-busy-poll-
11시 56분 11초     0         -    122222    0.00   55.00    0.00    0.00   55.00     3  |__napi-busy-poll-
11시 56분 11초     0         -    122224    0.00    5.00    0.00    0.00    5.00     5  |__iou-sqp-122222
11시 56분 12초     0    122222         -    0.00   91.00    0.00    0.00   91.00     1  napi-busy-poll-
11시 56분 12초     0         -    122222    0.00   55.00    0.00    0.00   55.00     1  |__napi-busy-poll-
11시 56분 12초     0         -    122224    0.00   36.00    0.00    0.00   36.00     5  |__iou-sqp-122222
11시 56분 13초     0    122222         -    1.00  105.00    0.00    0.00  106.00     4  napi-busy-poll-
11시 56분 13초     0         -    122222    1.00   55.00    0.00    0.00   56.00     4  |__napi-busy-poll-
11시 56분 13초     0         -    122224    0.00   50.00    0.00    2.00   50.00     3  |__iou-sqp-122222
11시 56분 14초     0    122222         -    1.00  106.00    0.00    0.00  107.00     0  napi-busy-poll-
11시 56분 14초     0         -    122222    1.00   54.00    0.00    0.00   55.00     0  |__napi-busy-poll-
11시 56분 14초     0         -    122224    0.00   51.00    0.00    0.00   51.00     5  |__iou-sqp-122222
11시 56분 15초     0    122222         -    1.00  125.00    0.00    0.00  126.00     0  napi-busy-poll-
11시 56분 15초     0         -    122222    2.00   55.00    0.00    0.00   57.00     0  |__napi-busy-poll-
11시 56분 15초     0         -    122224    0.00   70.00    0.00    0.00   70.00     5  |__iou-sqp-122222
11시 56분 16초     0    122222         -    4.00  125.00    0.00    0.00  129.00     1  napi-busy-poll-
11시 56분 16초     0         -    122222    4.00   52.00    0.00    0.00   56.00     1  |__napi-busy-poll-
11시 56분 16초     0         -    122224    0.00   73.00    0.00    0.00   73.00     5  |__iou-sqp-122222
11시 56분 17초     0    122222         -    0.00  127.00    0.00    0.00  127.00     1  napi-busy-poll-
11시 56분 17초     0         -    122222    1.00   55.00    0.00    0.00   56.00     1  |__napi-busy-poll-
11시 56분 17초     0         -    122224    0.00   72.00    0.00    0.00   72.00     5  |__iou-sqp-122222
11시 56분 18초     0    122222         -    1.00  128.00    0.00    0.00  129.00     1  napi-busy-poll-
11시 56분 18초     0         -    122222    0.00   56.00    0.00    0.00   56.00     1  |__napi-busy-poll-
11시 56분 18초     0         -    122224    0.00   72.00    0.00    0.00   72.00     5  |__iou-sqp-122222
11시 56분 19초     0    122222         -    0.00  128.00    0.00    0.00  128.00     1  napi-busy-poll-
11시 56분 19초     0         -    122222    1.00   55.00    0.00    0.00   56.00     1  |__napi-busy-poll-
11시 56분 19초     0         -    122224    0.00   72.00    0.00    0.00   72.00     5  |__iou-sqp-122222
11시 56분 20초     0    122222         -    1.00  126.00    0.00    0.00  127.00     1  napi-busy-poll-
11시 56분 20초     0         -    122222    1.00   56.00    0.00    0.00   57.00     1  |__napi-busy-poll-
11시 56분 20초     0         -    122224    0.00   70.00    0.00    0.00   70.00     5  |__iou-sqp-122222
11시 56분 21초     0    122222         -    1.00  130.00    0.00    0.00  131.00     0  napi-busy-poll-
11시 56분 21초     0         -    122222    0.00   55.00    0.00    0.00   55.00     0  |__napi-busy-poll-
11시 56분 21초     0         -    122224    0.00   75.00    0.00    0.00   75.00     5  |__iou-sqp-122222
11시 56분 22초     0    122222         -    1.00  130.00    0.00    0.00  131.00     3  napi-busy-poll-
11시 56분 22초     0         -    122222    2.00   55.00    0.00    0.00   57.00     3  |__napi-busy-poll-
11시 56분 22초     0         -    122224    0.00   74.00    0.00    0.00   74.00     5  |__iou-sqp-122222
11시 56분 23초     0    122222         -    2.00  128.00    0.00    0.00  130.00     2  napi-busy-poll-
