Linux 6.10.8adaptive-sq+ (jeonghoon-MS-7D22) 	2025년 07월 31일 	_x86_64_	(12 CPU)

11시 48분 04초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
11시 48분 05초     0    118222         -    0.00   54.00    0.00    0.00   54.00     1  napi-busy-poll-
11시 48분 05초     0         -    118222    0.00   54.00    0.00    0.00   54.00     1  |__napi-busy-poll-
11시 48분 05초     0         -    118224    0.00    0.00    0.00    0.00    0.00     0  |__iou-sqp-118222
11시 48분 06초     0    118222         -    0.00  108.00    0.00    0.00  108.00     1  napi-busy-poll-
11시 48분 06초     0         -    118222    1.00   56.00    0.00    0.00   57.00     1  |__napi-busy-poll-
11시 48분 06초     0         -    118224    0.00   52.00    0.00    0.00   52.00     0  |__iou-sqp-118222
11시 48분 07초     0    118222         -    2.00  106.00    0.00    0.00  108.00     4  napi-busy-poll-
11시 48분 07초     0         -    118222    2.00   53.00    0.00    0.00   55.00     4  |__napi-busy-poll-
11시 48분 07초     0         -    118224    0.00   52.00    0.00    0.00   52.00     0  |__iou-sqp-118222
11시 48분 08초     0    118222         -    0.00  114.00    0.00    0.00  114.00     3  napi-busy-poll-
11시 48분 08초     0         -    118222    0.00   56.00    0.00    0.00   56.00     3  |__napi-busy-poll-
11시 48분 08초     0         -    118224    0.00   58.00    0.00    0.00   58.00     0  |__iou-sqp-118222
11시 48분 09초     0    118222         -    1.00  143.00    0.00    0.00  144.00     5  napi-busy-poll-
11시 48분 09초     0         -    118222    0.00   55.00    0.00    0.00   55.00     5  |__napi-busy-poll-
11시 48분 09초     0         -    118224    0.00   88.00    0.00    0.00   88.00     0  |__iou-sqp-118222
11시 48분 10초     0    118222         -    2.00  143.00    0.00    0.00  145.00     5  napi-busy-poll-
11시 48분 10초     0         -    118222    3.00   54.00    0.00    0.00   57.00     5  |__napi-busy-poll-
11시 48분 10초     0         -    118224    0.00   88.00    0.00    0.00   88.00     0  |__iou-sqp-118222
11시 48분 11초     0    118222         -    1.00  146.00    0.00    0.00  147.00     5  napi-busy-poll-
11시 48분 11초     0         -    118222    1.00   55.00    0.00    0.00   56.00     5  |__napi-busy-poll-
11시 48분 11초     0         -    118224    0.00   91.00    0.00    0.00   91.00     0  |__iou-sqp-118222
11시 48분 12초     0    118222         -    4.00  140.00    0.00    0.00  144.00     4  napi-busy-poll-
11시 48분 12초     0         -    118222    5.00   51.00    0.00    0.00   56.00     4  |__napi-busy-poll-
11시 48분 12초     0         -    118224    0.00   89.00    0.00    0.00   89.00     0  |__iou-sqp-118222
11시 48분 13초     0    118222         -    1.00  144.00    0.00    0.00  145.00     0  napi-busy-poll-
11시 48분 13초     0         -    118222    2.00   55.00    0.00    0.00   57.00     0  |__napi-busy-poll-
11시 48분 13초     0         -    118224    0.00   88.00    0.00    0.00   88.00     3  |__iou-sqp-118222
11시 48분 14초     0    118222         -    1.00  144.00    0.00    0.00  145.00     1  napi-busy-poll-
